period,region,qty_bills,total_bills,qty_pays,total_pays,qty_pay_adjust,qty_sb,sb_total,qty_incs,total_incs,qty_pfs,total_pfs,pays_vs_bills,%_real_apparent_delinquency,bills_vs_qty_sbs,cost_per_prop,total_inc_per_prop,qty_pf_per_prop,totla_pf_per_prop
2022-01-01,Antofagasta,6131.0,692254035,4916,345905842,235,1111,398603128,3,5540091,2402,29357934,0.7634969825477084,49.96804995148927,0.18121024302723862,65014.37416408416,1.3898764487367494,0.3917794813244169,4788.441363562225
2022-01-01,Araucania,196.0,159401819,89,7940573,10,14,7412482,0,0,0,0,0.4030612244897959,4.98148204946143,0.07142857142857142,37818.78571428572,0.0,0.0,0.0
2022-01-01,Araucanía,6036.0,834018585,5227,419675427,696,1616,498388012,4,342744,1697,45377815,0.7506626905235255,50.319673272029064,0.26772697150430746,82569.25314778,0.06877051448821767,0.28114645460569915,7517.861994698475
2022-01-01,Arica y Parinacota,2226.0,236389248,1903,119746617,12,335,112194741,2,67910,616,5249044,0.8495058400718778,50.656541282283705,0.15049415992812218,50401.95013477089,0.06052868378206782,0.27672955974842767,2358.061096136568
2022-01-01,Atacama,604.0,56458505,225,10642434,1,78,17940906,0,0,22,905000,0.3708609271523179,18.850010286315587,0.1291390728476821,29703.48675496689,0.0,0.03642384105960265,1498.3443708609273
2022-01-01,Aysén,178.0,18147597,196,12818985,55,44,12677340,2,0,16,1200000,0.7921348314606742,70.63736868302729,0.24719101123595505,71221.01123595505,0.0,0.0898876404494382,6741.573033707865
2022-01-01,Bio Bio,333.0,21403175,280,13812554,0,72,11463028,0,0,35,262000,0.8408408408408409,64.5350701473029,0.21621621621621623,34423.50750750751,0.0,0.10510510510510511,786.7867867867868
2022-01-01,Bío Bío,11484.0,1053779272,9211,524213674,692,2090,500907458,8,237004,1922,19294465,0.7418146987112504,49.74606048238914,0.18199233716475097,43617.855973528385,0.04731492738125692,0.16736328805294323,1680.1171194705678
2022-01-01,Coquimbo,6470.0,2269810346,4726,523574948,292,1352,561140331,1,215000,1557,18064636,0.6853168469860896,23.066902876827402,0.2089644513137558,86729.57202472952,0.03831483643616413,0.24064914992272024,2792.0612055641423
2022-01-01,Los Lagos,5265.0,666199659,3602,228881097,95,987,272464770,2,280000,741,10010546,0.6660968660968661,34.35623148525208,0.18746438746438746,51750.19373219373,0.10276557956465344,0.14074074074074075,1901.3382716049382
